item_raw,count
한식,16533
의류,10756
수산물,3950
커피,3125
미용,3071
치킨,2603
분식,2125
건어물,2008
음식,1932
농산물,1816
미용실,1777
떡,1773
식육,1725
과일,1706
생선,1636
화장품,1625
음식점,1499
잡화,1424
중식,1276
반찬,1242
신발,1199
안경,1167
의약품,1151
축산물,1129
야채,1082
편의점,1007
채소,974
미용업,967
카페,911
육류,871
일식,824
정육,790
가구,759
여성의류,756
피자,747
귀금속,737
네일,708
족발,674
활어,611
한의원,599
식품,555
슈퍼,532
두부,511
속옷,489
이불,478
한복,472
김밥,470
치과,469
양약,465
제과,459
양식,445
피부미용,442
약국,434
회,421
필라테스,419
기타,413
일반음식,413
청과,401
참기름,395
헤어,393
생화,389
빵,384
철물,375
젓갈,372
일반음식점,370
닭,366
세탁,364
슈퍼마켓,363
돼지고기,359
네일아트,356
고기,348
꽃,340
도소매(의류),337
생활용품,334
칼국수,332
제과점,325
당구장,325
내의,320
햄버거,317
의료,310
국밥,306
음료,306
의료서비스,306
삼겹살,305
휴대폰,304
인삼,300
음식(한식),299
악세사리,298
아이스크림,297
침구,294
태권도,294
침구류,288
마트,283
치과의원,283
수산,281
노래연습장,279
방앗간,275
교육서비스,272
가방,270
서비스,267
떡류,266
만두,264
건강식품,262
농수산물,251
피부관리,250
옷,246
액세서리,243
스포츠의류,242
그릇,233
곡물,232
주방용품,229
커튼,228
문구,228
여성복,223
정육점,223
두발미용,219
국수,211
외의,208
돈까스,201
사진,200
통닭,200
수삼,200
휴게음식,200
원단,199
아동복,196
헬스,195
통신기기,193
건강기능식품,192
서적,192
커피전문점,192
닭강정,191
교육,189
노래방,186
서비스업,185
음악학원,182
약,178
축산,178
횟집,178
악기,176
해산물,175
도자기,175
초밥,175
음식점업,171
김치,170
숙녀복,170
어묵,168
가전제품,167
일반미용업,163
간이음식,163
소매(의류),162
죽,162
곱창,161
옷수선,160
한우,160
헤어미용,159
의원,159
약초,158
마라탕,157
농약,155
선어,154
꽈배기,153
쌀,153
식료품,152
닭갈비,152
순대국,151
식자재,151
식당,150
생닭,150
자동차정비,149
건강원,149
식품잡화,148
스포츠용품,147
한약,147
도서,146
청과물,144
가공식품,142
부대찌개,141
소매업(의류),140
계란,140
떡볶이,138
장어,137
커피 및 음료,136
보청기,135
토스트,134
미술학원,133
음식점업(한식),132
어패류,132
식육점,131
추어탕,130
샌드위치,129
의약품 및 의료용품,129
커피 음료,127
자전거,126
미용서비스,126
보건업,125
세탁소,124
의료기기,124
기름,124
스터디카페,124
교육서비스업,124
요가,123
컴퓨터,123
애견용품,123
디저트,123
순대,123
애견미용,122
사진관,122
휴게음식점,121
홍삼,121
사진촬영,121
감자탕,121
일반한식,118
활어회,118
수선,117
커피음료,117
공산품,116
양말,114
한식점업,113
제과제빵,113
과자,112
공예품,111
포목,109
자동차수리,108
제과점업,107
소고기,107
의류수선,106
젓갈류,104
"의류, 잡화",104
고추,103
돈가스,103
쌀국수,103
닭발,103
호프,102
커피 디저트,99
양꼬치,98
악세서리,98
홍어,98
도시락,97
"의류,잡화",97
내과,97
의류잡화,96
샐러드,96
미술교육,96
떡방앗간,95
피부미용업,94
인테리어,94
생필품,94
김,93
두발미용업,93
커텐,93
전자제품,92
소매업,92
반찬류,91
피아노,91
베이커리,91
의류 잡화,90
헬스장,90
공구,90
과실,89
떡집,89
모자,89
양곡,88
벽지,88
세탁업,88
소매,88
갈비,87
정장,87
전,87
안경 및 렌즈,87
냉동수산물,86
스크린골프,84
핸드폰,83
전기재료,83
심리상담,82
시계,81
참치,80
건강보조식품,79
속눈썹,79
화훼,79
동물병원,78
전자담배,78
백반,77
숙박,77
도매(의류),77
쭈꾸미,76
잡곡,75
케이크,74
돼지갈비,74
찜닭,74
음악교육,74
도소매(농산물),73
호두과자,73
열쇠,72
독서실,72
"식품,잡화",72
아구찜,72
치킨전문점,72
막창,72
생선회,72
세차,71
당구,71
식잡,71
약품,71
골프연습장,71
운동,70
구두,70
튀김,70
냉면,69
해장국,69
타이어,69
두발,69
이미용,68
과일야채,68
치과진료,67
의약품 및 의료기기,66
한과,66
과일 야채,66
남성의류,66
미용재료,65
의료업,65
호떡,65
학원,65
공방,65
체력단련,65
생활잡화,64
견과류,64
농축수산품,64
미술,63
이용업,62
피부과,62
"식품, 잡화",62
식육판매,62
곰탕,62
자동차용품,61
마늘,60
인쇄,60
오리,60
페인트,59
의류및신발,59
커피 전문점,59
메이크업,59
도소매(수산물),58
중화요리,58
소고기 돼지고기,58
-,58
빵류,57
병원,57
일용잡화,57
커피숍,56
족발보쌈,56
샤브샤브,56
내의류,56
파스타,56
핫도그,56
도소매,55
떡갈비,55
미용헤어,55
복싱,55
애완용품,55
자동차부품,55
기타음식,55
한옥체험업,55
컴퓨터 및 주변기기,54
의약품 의료기기,54
네일샵,54
도소매(식육),54
한식 일반 음식점업,53
피아노학원,53
"소매(의류,잡화)",53
의류 및 잡화,53
채소류,52
한약재,52
일반음식점업,52
이비인후과,52
직물,52
숙박업,52
빙수,51
음식업,51
식음료,50
화초,50
타코야끼,50
주단,50
누룽지,50
소품,50
도소매(축산물),50
식품 잡화,49
"과일, 야채",49
보쌈,49
타올,48
유아용품,48
탁구장,48
도너츠,47
안경 콘택트렌즈,47
주유소,47
순대국밥,47
메리야스,47
도소매(건어물),47
과자류,47
안경 및 콘택트렌즈,46
양장지,46
제빵,46
골프용품,46
우동,46
음식업(한식),46
남성복,46
건축자재,46
꽃집,46
불교용품,46
태권도장,45
인삼제품,45
한복지,44
홈패션,44
생선구이,44
의복,44
김치찌개,43
비닐,43
헤어샵,43
대게,43
의류소매,43
음식(분식),43
족발 보쌈,42
양고기,42
닭고기,42
민물장어,42
기계공구,42
두발 미용,42
피아노교습,41
덮밥,41
삼계탕,41
천막,41
란제리,41
서점,41
의료기,41
낙지,41
기념품,40
한식음식점업,40
수예품,40
음식료품,40
음악,40
치과의료,39
보리밥,39
음식점(한식),39
"커피, 디저트",39
식용유,39
수의업,39
두발 미용업,39
