source_region,item,count
강원특별자치도,의류,532
강원특별자치도,한식,495
강원특별자치도,수산물,170
강원특별자치도,건어물,162
강원특별자치도,미용실,130
강원특별자치도,커피,128
강원특별자치도,잡화,100
강원특별자치도,치킨,98
강원특별자치도,떡,95
강원특별자치도,분식,84
강원특별자치도,생선,83
강원특별자치도,음식,83
강원특별자치도,신발,74
강원특별자치도,농산물,73
강원특별자치도,활어회,60
강원특별자치도,미용,59
강원특별자치도,중식,57
강원특별자치도,과일,55
강원특별자치도,식육,54
강원특별자치도,화장품,54
강원특별자치도,젓갈,49
강원특별자치도,반찬,48
강원특별자치도,닭갈비,43
강원특별자치도,편의점,43
강원특별자치도,야채,40
강원특별자치도,식품,39
강원특별자치도,기름,38
강원특별자치도,음식점,38
강원특별자치도,회,36
강원특별자치도,음식점업,35
강원특별자치도,정육,35
강원특별자치도,안경,33
강원특별자치도,김밥,31
강원특별자치도,대게,31
강원특별자치도,칼국수,31
강원특별자치도,여성의류,30
강원특별자치도,튀김,30
강원특별자치도,속옷,29
강원특별자치도,채소,28
강원특별자치도,한복,28
강원특별자치도,의약품,27
강원특별자치도,귀금속,26
강원특별자치도,닭강정,26
강원특별자치도,피자,26
강원특별자치도,미용업,25
강원특별자치도,가방,24
강원특별자치도,음료,24
강원특별자치도,옷,23
강원특별자치도,철물,23
강원특별자치도,할복,23
강원특별자치도,부침,22
강원특별자치도,빵,22
강원특별자치도,수선,22
강원특별자치도,슈퍼,22
강원특별자치도,닭,21
강원특별자치도,만두,21
강원특별자치도,스포츠의류,21
강원특별자치도,축산물,21
강원특별자치도,침구류,21
강원특별자치도,삼겹살,19
강원특별자치도,약초,19
강원특별자치도,일반음식,19
강원특별자치도,족발,19
강원특별자치도,횟집,19
강원특별자치도,네일아트,18
강원특별자치도,이불,18
강원특별자치도,수산,17
강원특별자치도,카페,17
강원특별자치도,햄버거,17
강원특별자치도,가구,16
강원특별자치도,곡물,16
강원특별자치도,국수,16
강원특별자치도,돈까스,16
강원특별자치도,생활용품,16
강원특별자치도,액세서리,16
강원특별자치도,정육점,16
강원특별자치도,제과점,16
강원특별자치도,피부미용,16
강원특별자치도,국밥,15
강원특별자치도,그릇,15
강원특별자치도,꽃,15
강원특별자치도,모자,15
강원특별자치도,스포츠용품,15
강원특별자치도,쌀,15
강원특별자치도,악세사리,15
