item,count
한식,16757
의류,11477
수산물,4154
커피,3564
미용,3111
치킨,2695
잡화,2447
건어물,2283
분식,2195
농산물,2064
과일,2053
음식,1990
떡,1892
화장품,1864
식육,1822
미용실,1784
생선,1754
음식점,1510
신발,1445
야채,1411
반찬,1350
중식,1284
안경,1280
의약품,1238
채소,1201
축산물,1179
편의점,1023
미용업,979
카페,964
육류,903
식품,856
귀금속,853
일식,851
정육,826
피자,806
가구,800
여성의류,777
네일,765
족발,749
활어,680
음료,603
한의원,602
이불,601
두부,581
속옷,568
슈퍼,563
참기름,542
한복,541
김밥,535
양약,523
제과,521
청과,506
빵,502
젓갈,486
피부미용,480
철물,474
치과,469
양식,465
회,465
가방,453
생화,451
닭,447
약국,446
기타,438
필라테스,436
악세사리,426
일반음식,425
돼지고기,418
꽃,407
생활용품,404
헤어,404
슈퍼마켓,394
인삼,382
내의,377
일반음식점,377
세탁,372
네일아트,371
고기,365
스포츠의류,361
칼국수,360
침구류,357
아이스크림,355
침구,347
햄버거,343
문구,343
도소매(의류),343
휴대폰,342
제과점,333
삼겹살,330
국밥,325
당구장,325
방앗간,317
건강식품,312
만두,312
액세서리,312
수산,310
의료,310
커튼,306
의료서비스,306
음식(한식),304
디저트,298
농수산물,298
태권도,296
마트,292
떡류,288
곡물,285
서비스,283
쌀,283
치과의원,283
건강기능식품,283
그릇,281
노래연습장,279
교육서비스,275
옷,271
피부관리,270
주방용품,259
의료기기,252
스포츠용품,252
농약,250
약초,243
외의,238
김치,237
서적,235
고추,234
국수,233
여성복,233
돈까스,229
원단,227
정육점,225
두발미용,220
사진,214
수삼,213
통닭,212
휴게음식,212
헬스,211
닭강정,211
기름,211
통신기기,208
아동복,207
시계,204
커피전문점,202
초밥,200
과자,199
담배,198
어묵,197
해산물,197
식자재,196
도자기,195
교육,195
양말,195
식료품,193
서비스업,192
계란,187
축산,187
노래방,186
한우,186
샌드위치,185
가전제품,185
음악학원,183
횟집,183
식품잡화,181
약,181
악기,181
벽지,180
선어,180
숙녀복,178
떡볶이,178
잡곡,177
죽,176
곱창,175
음식점업,175
가공식품,173
한약,172
꽈배기,170
일반미용업,170
생닭,170
간이음식,166
옷수선,166
소매(의류),164
순대국,163
도서,163
마라탕,162
홍삼,162
헤어미용,161
닭갈비,159
의원,159
모자,157
건강원,156
보청기,154
토스트,154
소고기,154
어패류,154
커텐,152
식당,151
자동차정비,151
컴퓨터,150
공산품,149
청과물,148
순대,147
부대찌개,146
커피 및 음료,146
소매업(의류),144
장어,143
김,141
애견용품,140
요가,139
수선,138
추어탕,136
음식점업(한식),135
자전거,134
미술학원,134
젓갈류,134
악세서리,134
커피 음료,133
식육점,132
공예품,132
애견미용,132
사진촬영,130
휴게음식점,130
미용서비스,129
주류,129
의약품 및 의료용품,129
감자탕,126
활어회,126
스터디카페,126
세탁소,125
샐러드,125
보건업,125
교육서비스업,125
소매,124
공구,123
사진관,123
포목,123
베이커리,121
커피음료,120
닭발,120
오리,119
인테리어,118
일반한식,118
소품,116
마늘,116
제과제빵,115
과실,114
한식점업,114
돈가스,114
