store_id,field,values,source_record_keys
e302ba26-cccc-4038-9153-3124dcdbdc41,item,"[""정육"", ""육류""]",stores_20260907.xlsx:Sheet1:37062|stores_20260907.xlsx:Sheet1:89
e302ba26-cccc-4038-9153-3124dcdbdc41,geo,"[{""latitude"": 35.318985, ""longitude"": 128.2613}, {""latitude"": 35.319079721, ""longitude"": 128.26136651}]",stores_20260907.xlsx:Sheet1:37062|stores_20260907.xlsx:Sheet1:89
4d2568c4-3d42-4ff2-a1c3-636721190654,card_payment,"[np.False_, np.True_]",stores_20260907.xlsx:Sheet1:72442|stores_20260907.xlsx:Sheet1:799
a0a5915f-4a98-4dc2-92a0-8ae212aee3a7,item,"[""생선(활어)"", ""수산물""]",stores_20260907.xlsx:Sheet1:3434|stores_20260907.xlsx:Sheet1:36462
2198da68-b2bc-49a5-91bf-d3dc136bdb3d,item,"[""생선, 어패류"", ""어패류""]",stores_20260907.xlsx:Sheet1:14011|stores_20260907.xlsx:Sheet1:6569
2198da68-b2bc-49a5-91bf-d3dc136bdb3d,geo,"[{""latitude"": 34.9274354161, ""longitude"": 128.0717637904}, {""latitude"": 34.927452, ""longitude"": 128.07048}]",stores_20260907.xlsx:Sheet1:14011|stores_20260907.xlsx:Sheet1:6569
13d36787-e8cb-4a59-aebe-b9872833f3fb,item,"[""전자제품"", ""전자""]",stores_20260907.xlsx:Sheet1:27861|stores_20260907.xlsx:Sheet1:6865
943a7862-3b54-4fe7-9dc3-82e70974156c,item,"[""수산물"", ""건어물""]",stores_20260907.xlsx:Sheet1:31118|stores_20260907.xlsx:Sheet1:7489
943a7862-3b54-4fe7-9dc3-82e70974156c,geo,"[{""latitude"": 36.782413, ""longitude"": 126.45537}, {""latitude"": 36.782003839, ""longitude"": 126.455067646}]",stores_20260907.xlsx:Sheet1:31118|stores_20260907.xlsx:Sheet1:7489
19f80ad5-7c10-4c16-bff4-8218962d912e,item,"[""채소.야채"", ""채소""]",stores_20260907.xlsx:Sheet1:8428|stores_20260907.xlsx:Sheet1:8599
61a33604-e456-4575-968d-ea0f5231795a,item,"[""식당"", ""한식""]",stores_20260907.xlsx:Sheet1:41863|stores_20260907.xlsx:Sheet1:8981
61a33604-e456-4575-968d-ea0f5231795a,geo,"[{""latitude"": 35.98964128, ""longitude"": 129.554460564}, {""latitude"": 35.98963, ""longitude"": 129.55446}]",stores_20260907.xlsx:Sheet1:41863|stores_20260907.xlsx:Sheet1:8981
62442ff2-7e56-4214-9f99-63428943239b,geo,"[{""latitude"": 37.351852, ""longitude"": 127.9493}, {""latitude"": 37.351858479, ""longitude"": 127.949290539}]",stores_20260907.xlsx:Sheet1:31792|stores_20260907.xlsx:Sheet1:9859
89f4099e-4a5d-405c-a5b5-3f97d64851ad,item,"[""국수"", ""국수류(건면)""]",stores_20260907.xlsx:Sheet1:10707|stores_20260907.xlsx:Sheet1:20605
9158e37c-547c-4bff-ae2c-8d0c01bdec47,item,"[""이불,커텐"", ""이불, 커튼""]",stores_20260907.xlsx:Sheet1:10987|stores_20260907.xlsx:Sheet1:42086
4fa5f01c-8838-4f39-9b24-4916b7743d53,item,"[""과메기"", ""식품""]",stores_20260907.xlsx:Sheet1:11921|stores_20260907.xlsx:Sheet1:30915
b8f74021-1044-4f0d-9242-98c4c0027572,item,"[""스포츠용품"", ""스포츠""]",stores_20260907.xlsx:Sheet1:11968|stores_20260907.xlsx:Sheet1:39254
b8f74021-1044-4f0d-9242-98c4c0027572,merchant_no,"[""0546322000"", ""01097019119""]",stores_20260907.xlsx:Sheet1:11968|stores_20260907.xlsx:Sheet1:39254
b69270ec-e745-47b8-a056-81003f82286e,item,"[""속옷"", ""의류""]",stores_20260907.xlsx:Sheet1:13558|stores_20260907.xlsx:Sheet1:17986
cd4b5f9f-e59a-4587-b62d-bfb54396df16,geo,"[{""latitude"": 35.101868138, ""longitude"": 129.028302019}, {""latitude"": 35.101948, ""longitude"": 129.02835}]",stores_20260907.xlsx:Sheet1:14720|stores_20260907.xlsx:Sheet1:14721
bf5e1aad-492e-4d16-bff6-17752c28c564,item,"[""의류"", ""잡화""]",stores_20260907.xlsx:Sheet1:14814|stores_20260907.xlsx:Sheet1:38207
074f7913-6c5d-4501-8c5d-12e0c405cbde,item,"[""야채,젓갈"", ""반찬""]",stores_20260907.xlsx:Sheet1:15030|stores_20260907.xlsx:Sheet1:54119
9f67ee41-96c7-4358-8878-00e66553ebcc,item,"[""수선"", ""옷감""]",stores_20260907.xlsx:Sheet1:17008|stores_20260907.xlsx:Sheet1:58496
26134ba0-eb60-4f9c-a211-6c5c68f0f599,item,"[""농산물도소매"", ""과일야채""]",stores_20260907.xlsx:Sheet1:20766|stores_20260907.xlsx:Sheet1:83211
dee6754a-92f5-4adb-b8fa-67734291de08,item,"[""고추,참기름"", ""참기름""]",stores_20260907.xlsx:Sheet1:23007|stores_20260907.xlsx:Sheet1:36525
dee6754a-92f5-4adb-b8fa-67734291de08,geo,"[{""latitude"": 37.60955934, ""longitude"": 127.061832129}, {""latitude"": 37.609535, ""longitude"": 127.06182}]",stores_20260907.xlsx:Sheet1:23007|stores_20260907.xlsx:Sheet1:36525
baeeb404-d161-4174-a33e-f4b375202a01,item,"[""의류"", ""떡""]",stores_20260907.xlsx:Sheet1:25076|stores_20260907.xlsx:Sheet1:37685
baeeb404-d161-4174-a33e-f4b375202a01,geo,"[{""latitude"": 35.5425311217, ""longitude"": 129.3095433594}, {""latitude"": 35.54257, ""longitude"": 129.30951}]",stores_20260907.xlsx:Sheet1:25076|stores_20260907.xlsx:Sheet1:37685
d4b2120e-3de6-4f0b-bfea-d6908ec22149,item,"[""의류,신발,가방"", ""제화""]",stores_20260907.xlsx:Sheet1:26867|stores_20260907.xlsx:Sheet1:50678
d4b2120e-3de6-4f0b-bfea-d6908ec22149,merchant_no,"[""0546370069"", ""0546380069""]",stores_20260907.xlsx:Sheet1:26867|stores_20260907.xlsx:Sheet1:50678
318ad335-6927-494d-9764-c9903cd31d30,item,"[""생선"", ""수산물""]",stores_20260907.xlsx:Sheet1:27283|stores_20260907.xlsx:Sheet1:37479
2eceb185-22d3-4009-9a47-22e6549bcd22,geo,"[{""latitude"": 36.350956, ""longitude"": 126.59364}, {""latitude"": 36.350907081, ""longitude"": 126.593907672}]",stores_20260907.xlsx:Sheet1:30336|stores_20260907.xlsx:Sheet1:43894
524dce62-29ad-4bdb-b797-2e3946324d82,geo,"[{""latitude"": 37.740563187, ""longitude"": 126.491805876}, {""latitude"": 37.741356, ""longitude"": 126.4926}]",stores_20260907.xlsx:Sheet1:32288|stores_20260907.xlsx:Sheet1:40745
b5109f4a-42d6-4ef0-af4b-83b28e0b8446,item,"[""음식점"", ""커피""]",stores_20260907.xlsx:Sheet1:32985|stores_20260907.xlsx:Sheet1:52158
659aa5a0-a5d6-4f35-8635-1e28760dbd5e,item,"[""여성복"", ""여성의류""]",stores_20260907.xlsx:Sheet1:103208|stores_20260907.xlsx:Sheet1:36409
659aa5a0-a5d6-4f35-8635-1e28760dbd5e,geo,"[{""latitude"": 35.205880468, ""longitude"": 128.57567456}, {""latitude"": 35.20587, ""longitude"": 128.57564}]",stores_20260907.xlsx:Sheet1:103208|stores_20260907.xlsx:Sheet1:36409
9cd3be08-9472-499e-9f97-0f9ed104d59d,item,"[""낚시,총포"", ""소매(낚시,총포,조립식 앵글)""]",stores_20260907.xlsx:Sheet1:38130|stores_20260907.xlsx:Sheet1:57536
0666f51e-1d02-47db-ac89-7a671af69091,item,"[""신발"", ""고급신발""]",stores_20260907.xlsx:Sheet1:39342|stores_20260907.xlsx:Sheet1:43064
524cda4a-432e-4980-9fa7-e5b586110458,geo,"[{""latitude"": 37.61928, ""longitude"": 126.92148}, {""latitude"": 37.6194712263, ""longitude"": 126.9218026541}]",stores_20260907.xlsx:Sheet1:43227|stores_20260907.xlsx:Sheet1:44902
0792da93-b4ad-4e5d-99c1-f2fc04c43796,card_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:49770|stores_20260907.xlsx:Sheet1:60464
8019b1e9-c33d-427c-82b9-9ea824cdda4f,item,"[""소매업(의류)"", ""도소매(의류)""]",stores_20260907.xlsx:Sheet1:53883|stores_20260907.xlsx:Sheet1:58968
7175e07c-3247-42e1-bd6f-23d55b6d3289,item,"[""분식"", ""김밥 등""]",stores_20260907.xlsx:Sheet1:56395|stores_20260907.xlsx:Sheet1:69608
7175e07c-3247-42e1-bd6f-23d55b6d3289,merchant_no,"[""0418553017"", ""0419608008""]",stores_20260907.xlsx:Sheet1:56395|stores_20260907.xlsx:Sheet1:69608
7e2cec60-0b00-4de2-ac81-bfdd53f3d364,item,"[""주방용품"", ""주방용품 및 그릇""]",stores_20260907.xlsx:Sheet1:57272|stores_20260907.xlsx:Sheet1:78627
9d5b4b50-981b-4075-8e7e-3ac7fa942bc0,item,"[""어묵"", ""한식""]",stores_20260907.xlsx:Sheet1:57299|stores_20260907.xlsx:Sheet1:68455
8b76fd75-d5c2-49ed-9a3c-f550cdc50061,item,"[""레코드,녹음테이프"", ""음반""]",stores_20260907.xlsx:Sheet1:62738|stores_20260907.xlsx:Sheet1:66143
8b76fd75-d5c2-49ed-9a3c-f550cdc50061,geo,"[{""latitude"": 36.458821776, ""longitude"": 127.124692985}, {""latitude"": 36.458862, ""longitude"": 127.1247}]",stores_20260907.xlsx:Sheet1:62738|stores_20260907.xlsx:Sheet1:66143
8b76fd75-d5c2-49ed-9a3c-f550cdc50061,mobile_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:62738|stores_20260907.xlsx:Sheet1:66143
de6e19bd-5e17-4be7-8492-899388fdda35,item,"[""수산물"", ""젓갈""]",stores_20260907.xlsx:Sheet1:67237|stores_20260907.xlsx:Sheet1:74007
de6e19bd-5e17-4be7-8492-899388fdda35,geo,"[{""latitude"": 36.458268192, ""longitude"": 127.123303753}, {""latitude"": 36.458427, ""longitude"": 127.12332}]",stores_20260907.xlsx:Sheet1:67237|stores_20260907.xlsx:Sheet1:74007
de6e19bd-5e17-4be7-8492-899388fdda35,mobile_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:67237|stores_20260907.xlsx:Sheet1:74007
57d89605-1059-40d3-b3c6-46fb0a6c9cfc,geo,"[{""latitude"": 37.488686023, ""longitude"": 126.763278241}, {""latitude"": 37.48864, ""longitude"": 126.76328}]",stores_20260907.xlsx:Sheet1:68055|stores_20260907.xlsx:Sheet1:82146
57d89605-1059-40d3-b3c6-46fb0a6c9cfc,mobile_payment,"[np.True_, np.False_]",stores_20260907.xlsx:Sheet1:68055|stores_20260907.xlsx:Sheet1:82146
84631296-3df0-4405-925b-e631110993bb,geo,"[{""latitude"": 35.172516219, ""longitude"": 126.920827787}, {""latitude"": 35.17252, ""longitude"": 126.92084}]",stores_20260907.xlsx:Sheet1:68338|stores_20260907.xlsx:Sheet1:74964
39325264-62fd-4eff-9d82-0cb91fe66f06,geo,"[{""latitude"": 37.900052167, ""longitude"": 127.050364872}, {""latitude"": 37.9001, ""longitude"": 127.050446}]",stores_20260907.xlsx:Sheet1:68389|stores_20260907.xlsx:Sheet1:83958
